Unnamed: 0,customer_id,firm_tx_count,firm_size_wallet,firm_name,total_wallet,firm_potential_wallet,firm_sow_fee,firm_sow_tx,customer_firms_count,total_tx_count,total_wallet_quintile,sow_bin
183542,0xb55dcf7f3642d7229523b37e2e97a27b2d8bff28,11,132.076363269,opensea,132.076363269,0.0,1.0,1.0,1,11,4th_quintile,Bin 5
1566655,0x93648131bb92337981a93c16fc973867241a83cc,1,0.007898109453,sudoswap,0.007898109453,0.0,1.0,1.0,1,1,1st_quintile,Bin 5
1127536,0x82ac73f47dbe8edca06fd679dc90494b0aea6fbf,1,8.015,opensea,8.015,0.0,1.0,1.0,1,1,2nd_quintile,Bin 5
1559770,0x67edeb9b6c5c8e0c89ad4a2dfe35e17964f299cd,1,0.70561425,blur,10.215827907,9.510213657,0.0690706868227983,0.1,3,10,2nd_quintile,Bin 1
1218123,0x5f3f9101d1667c67da86aefb91248f3422a0cb1f,1,37.58619746,looksrare,4542.481237859,4504.895040399,0.0082743759394624,0.0384615384615384,4,26,5th_quintile,Bin 1
1757865,0x92eeabec0336923484e24baa31a264d252198c6c,1,2.000852697,opensea,2.000852697,0.0,1.0,1.0,1,1,1st_quintile,Bin 5
612110,0x2e4c9feba4d2bf8e3fb9c6fa1c5524abca8f343c,7,250.196040108,opensea,250.196040108,0.0,1.0,1.0,1,7,5th_quintile,Bin 5
826994,0xd73e3eafb8fc292b9237881df63ea165f68a04cf,4,18.201442719,opensea,18.201442719,0.0,1.0,1.0,1,4,3rd_quintile,Bin 5
366780,0x73981d5295a7f0e21057f8d0fe5578b1b9989c1a,3,123.130983598,opensea,123.130983598,0.0,1.0,1.0,1,3,4th_quintile,Bin 5
985194,0xaf3115f6307b8ba8af106cb32eb017cb798640ea,5,86.927786924,opensea,86.927786924,0.0,1.0,1.0,1,5,4th_quintile,Bin 5
1334146,0x73834c18172a32365fe1311c56e7c619c3cfe52c,1,0.18845365,opensea,0.18845365,0.0,1.0,1.0,1,1,1st_quintile,Bin 5
324613,0x33876cd7512e3ab2c836af79fbcf36b201f3ba76,8,43.756217522,opensea,54.344783913,10.588566391,0.8051594720120495,0.8888888888888888,2,9,4th_quintile,Bin 5
480029,0x36c06ffea418b7e4829e32f80e3cc220597b2163,23,78.463385053,opensea,79.063887553,0.6005025000000046,0.9924048447580134,0.9583333333333334,2,24,4th_quintile,Bin 5
1245133,0xcf9b51be9abe9c1ee4294d9affd5b58bac25e785,6,3.7219525,opensea,4.1847115,0.4627589999999997,0.8894167495178581,0.8571428571428571,2,7,2nd_quintile,Bin 5
890804,0x32e2bd13ea5ac745a4f0b6e77c21b7f5b44bdb6d,2,81.709956193,looksrare,81.709956193,0.0,1.0,1.0,1,2,4th_quintile,Bin 5
19777,0xc704dc228e04321a735bd78d818e2b130602fc5b,15,1110.800692282,opensea,1110.800692282,0.0,1.0,1.0,1,15,5th_quintile,Bin 5
211969,0x7e2aeea84a4b351e915d1c8ffa2b60dae7ef6a86,29,62.321699783,opensea,65.044616783,2.722916999999996,0.9581377040150132,0.935483870967742,3,31,4th_quintile,Bin 5
1403013,0x93b3845e77bd97a416735a9eab479aed492954a0,3,2.076362375,opensea,2.076362375,0.0,1.0,1.0,1,3,1st_quintile,Bin 5
558355,0x26101fa10711664bc10e1a3b6c3d9b22ce38a8d6,16,45.375776809,opensea,45.4404015299,0.0646247208999994,0.9985778136036612,0.9411764705882352,2,17,3rd_quintile,Bin 5
976900,0xce71925d642cf932f2fa5f6e40304d2e1cf321a2,19,41.400429009,opensea,41.400429009,0.0,1.0,1.0,1,19,3rd_quintile,Bin 5
1012287,0x59ae3b805f57ca430af2425a700bf41b92147065,2,5.061287937,opensea,5.084436297000001,0.0231483600000004,0.99544721211009,0.3333333333333333,2,6,2nd_quintile,Bin 5
6069,0x1f3b00363a447c88a255ea329c3e8e96c8872196,39,23.530716412,gem,492.556600371,469.025883959,0.0477726141407431,0.0776892430278884,4,502,5th_quintile,Bin 1
1057179,0xda043c05decf96e619c92d30e4fa38fa103cc18c,3,11.02368,opensea,11.02368,0.0,1.0,1.0,1,3,2nd_quintile,Bin 5
464630,0x461e54396ff2694d8372fdbded070ab6269b6168,3,29.481975357,opensea,29.481975357,0.0,1.0,1.0,1,3,3rd_quintile,Bin 5
1552317,0x50b9ffb93fbf565f836d8cdf5a5874f1fa7df8b6,22,140.54128079,opensea,140.54128079,0.0,1.0,1.0,1,22,4th_quintile,Bin 5
243384,0xb31c2928140ab88530e7058860871dfc93d0bec6,18,4.959731034,x2y2,124.474325241,119.514594207,0.0398454140996326,0.216867469879518,4,83,4th_quintile,Bin 1
359713,0x9a773a0c1710a5afd9d25eb5b0d2dca2239663e6,2,32.940478966,gem,3009.4746950360004,2976.53421607,0.0109455909432745,0.03125,2,64,5th_quintile,Bin 1
